Date,Day_of_the_week,App,Minutes,Category
8/28,Monday,SNAP_CHAT,108,Social Media
8/28,Monday,TIKTOK,61,Social Media
8/28,Monday,X,45,Social Media
8/28,Monday,SAFARI,41,Other
8/28,Monday,INSTAGRAM,35,Social Media
8/28,Monday,YOUTUBE,19,Entertainment
8/28,Monday,DIAMOND,14,Other
8/28,Monday,MUSIC,5,Entertainment
8/28,Monday,CALENDAR,3,Other
8/28,Monday,MAIL,2,Social Media
8/28,Monday,CANVAS,1,Education
8/28,Monday,MESSAGES,1,Social Media
8/29,Tuesday,SNAP_CHAT,69,Social Media
8/29,Tuesday,TIKTOK,63,Social Media
8/29,Tuesday,CALCULATOR,55,Education
8/29,Tuesday,X,40,Social Media
8/29,Tuesday,INSTAGRAM,38,Social Media
8/29,Tuesday,YOUTUBE,24,Entertainment
8/29,Tuesday,SAFARI,17,Other
8/29,Tuesday,MUSIC,9,Entertainment
8/29,Tuesday,CANVAS,1,Education
8/29,Tuesday,MAIL,1,Social Media
8/30,Wednesday,SNAP_CHAT,166,Social Media
8/30,Wednesday,TIKTOK,85,Social Media
8/30,Wednesday,YOUTUBE,38,Entertainment
8/30,Wednesday,X,35,Social Media
8/30,Wednesday,INSTAGRAM,33,Social Media
8/30,Wednesday,SAFARI,30,Other
8/30,Wednesday,MAIL,5,Social Media
8/30,Wednesday,MUSIC,3,Entertainment
8/30,Wednesday,CANVAS,1,Education
8/31,Thursday,TIKTOK,75,Social Media
8/31,Thursday,SNAP_CHAT,70,Social Media
8/31,Thursday,YOUTUBE,54,Entertainment
8/31,Thursday,INSTAGRAM,40,Social Media
8/31,Thursday,X,27,Social Media
8/31,Thursday,SAFARI,15,Other
8/31,Thursday,MUSIC,13,Entertainment
8/31,Thursday,MAIL,10,Social Media
8/31,Thursday,CANVAS,1,Education
8/31,Thursday,CALCULATOR,4,Education
9/1,Friday,SNAP_CHAT,94,Social Media
9/1,Friday,TIKTOK,85,Social Media
9/1,Friday,INSTAGRAM,54,Social Media
9/1,Friday,X,35,Social Media
9/1,Friday,MUSIC,24,Entertainment
9/1,Friday,SAFARI,19,Other
9/1,Friday,YOUTUBE,12,Entertainment
9/1,Friday,CALCULATOR,4,Education
9/1,Friday,CANVAS,2,Education
9/1,Friday,MAIL,5,Social Media
9/2,Saturday,SNAP_CHAT,30,Social Media
9/2,Saturday,X,30,Social Media
9/2,Saturday,INSTAGRAM,24,Social Media
9/2,Saturday,DIAMOND,7,Other
9/2,Saturday,PRIZEPICKS,6,Other
9/2,Saturday,SAFARI,5,Other
9/2,Saturday,YOUTUBE,3,Entertainment
9/2,Saturday,MAIL,3,Social Media
9/2,Saturday,MESSAGES,1,Social Media
9/2,Saturday,MUSIC,1,Entertainment
9/2,Saturday,CANVAS,1,Education
9/3,Sunday,TIKTOK,42,Social Media
9/3,Sunday,INSTAGRAM,35,Social Media
9/3,Sunday,X,27,Social Media
9/3,Sunday,SNAP_CHAT,24,Social Media
9/3,Sunday,SAFARI,14,Other
9/3,Sunday,YOUTUBE,2,Entertainment
9/3,Sunday,CANVAS,1,Education
9/3,Sunday,MAIL,1,Social Media
